Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G ?
1,James Harden,SG,28,HOU,64,64,35.6,9.2,20.4,0.448,3.8,10.3,0.371,5.3,10.1,0.527,0.542,8.9,10.3,0.863,0.6,4.7,5.3,8.7,1.8,0.7,4.3,2.4,31
2,Anthony Davis,PF,24,NOP,66,66,36.5,10.5,19.4,0.539,0.8,2.3,0.34,9.7,17.1,0.565,0.559,6.5,7.8,0.834,2.5,8.6,11.1,2.3,1.5,2.4,2.2,2.1,28.2
3,LeBron James,PF,33,CLE,71,71,37.2,10.5,19.3,0.545,1.8,4.9,0.369,8.7,14.3,0.606,0.592,4.6,6.3,0.725,1.2,7.5,8.6,9.1,1.5,1,4.3,1.7,27.4
4,Giannis Antetokounmpo,PF,23,MIL,67,67,36.9,10,18.8,0.532,0.5,1.8,0.295,9.5,17,0.557,0.546,6.7,8.8,0.761,2.1,7.9,10,4.8,1.5,1.4,2.9,3.1,27.3
5,Kevin Durant,PF,29,GSW,60,60,34.7,9.4,18,0.52,2.6,6.1,0.43,6.8,11.9,0.566,0.593,5.2,5.9,0.887,0.5,6.3,6.8,5.4,0.8,1.9,3.1,2,26.6
6,Damian Lillard,PG,27,POR,64,64,36.4,8.4,19.1,0.441,3.1,8.5,0.371,5.3,10.6,0.496,0.523,6.7,7.3,0.914,0.7,3.7,4.4,6.5,1,0.4,3,1.6,26.6
7,Stephen Curry,PG,29,GSW,50,50,32.1,8.4,16.9,0.494,4.2,9.9,0.424,4.2,7.1,0.592,0.618,5.4,5.9,0.919,0.7,4.4,5.1,6.2,1.6,0.1,3,2.3,26.3
8,Russell Westbrook,PG,29,OKC,71,71,36.2,9.5,21.1,0.451,1.2,4.1,0.289,8.3,17,0.49,0.479,5.1,7,0.734,1.8,7.8,9.7,10.2,1.8,0.2,4.7,2.4,25.4
9,DeMarcus Cousins,C,27,NOP,48,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.3,11.9,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2
10,Devin Booker,SG,21,PHO,54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9
11,Kyrie Irving,PG,25,BOS,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2,24.4
12,DeMar DeRozan,SG,28,TOR,71,71,34.1,8.2,17.9,0.46,1.2,3.6,0.323,7.1,14.3,0.494,0.492,6,7.3,0.827,0.8,3.2,4,5.1,1.1,0.3,2.2,1.8,23.6
13,Joel Embiid,C,23,PHI,60,60,30.9,8.3,17.1,0.483,1.1,3.5,0.311,7.2,13.6,0.528,0.515,5.7,7.5,0.77,2.3,8.8,11.1,3.3,0.7,1.8,3.8,3.4,23.4
14,Victor Oladipo,SG,25,IND,66,66,34.1,8.6,18.2,0.471,2.1,5.8,0.367,6.4,12.4,0.52,0.53,4,5,0.805,0.6,4.7,5.3,4.1,2.2,0.8,3,2.3,23.3
15,Bradley Beal,SG,24,WAS,71,71,36.4,8.6,18.4,0.465,2.4,6.5,0.375,6.1,12,0.514,0.531,3.7,4.7,0.792,0.8,3.7,4.4,4.6,1.2,0.5,2.6,1.9,23.2
16,Kemba Walker,PG,27,CHO,71,71,34.8,7.6,17.6,0.431,3,7.6,0.394,4.6,10,0.459,0.516,4.7,5.5,0.857,0.4,2.8,3.3,5.7,1.2,0.3,2.2,1.3,22.9
17,Lou Williams,SG,31,LAC,70,19,32.7,7.4,16.9,0.437,2.5,7,0.359,4.9,10,0.491,0.511,5.5,6.3,0.878,0.5,2,2.5,5.4,1.1,0.2,3,1.4,22.8
18,LaMarcus Aldridge,C,32,SAS,65,65,33.4,9,17.8,0.503,0.4,1.3,0.294,8.6,16.5,0.519,0.513,4.4,5.3,0.837,3.3,5.1,8.4,2.1,0.5,1.1,1.5,2.2,22.7
19,Kristaps Porzingis,PF,22,NYK,48,48,32.4,8.1,18.5,0.439,1.9,4.8,0.393,6.3,13.8,0.455,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
20,Jimmy Butler,SG,28,MIN,56,56,37.1,7.4,15.8,0.473,1.2,3.5,0.356,6.2,12.3,0.506,0.512,6.1,7,0.865,1.3,4.1,5.4,5,1.9,0.4,1.8,1.3,22.2
21,Paul George,SF,27,OKC,70,70,36.4,7.4,16.8,0.438,3.1,7.6,0.41,4.3,9.2,0.462,0.531,4,4.9,0.809,0.9,4.8,5.7,3.4,2,0.5,2.7,2.9,21.8
22,Blake Griffin,PF,28,TOT,56,56,34.3,7.6,17.5,0.435,1.9,5.6,0.341,5.7,11.9,0.48,0.49,4.6,5.8,0.789,1.3,6.2,7.5,5.8,0.7,0.3,2.8,2.4,21.7
23,C.J. McCollum,SG,26,POR,70,70,36,8.2,18.4,0.447,2.4,5.9,0.412,5.8,12.5,0.464,0.513,2.7,3.2,0.842,0.6,3.3,3.9,3.2,0.9,0.4,1.8,2.1,21.5
24,Karl-Anthony Towns,C,22,MIN,72,72,35.4,7.6,13.9,0.549,1.4,3.4,0.426,6.2,10.5,0.588,0.601,4.1,4.8,0.856,2.9,9.3,12.2,2.4,0.8,1.4,2,3.4,20.9
25,Khris Middleton,SF,26,MIL,71,71,36.5,7.3,15.5,0.47,1.8,5,0.361,5.5,10.5,0.523,0.529,3.8,4.4,0.877,0.5,4.7,5.2,4,1.4,0.2,2.3,3.3,20.2
26,Donovan Mitchell,SG,21,UTA,69,61,33.2,7.4,16.9,0.437,2.3,6.9,0.336,5.1,10,0.507,0.506,2.9,3.5,0.828,0.6,3.1,3.7,3.6,1.5,0.4,2.7,2.8,20
27,Klay Thompson,SG,27,GSW,66,66,34.4,7.7,15.8,0.49,3.1,7,0.443,4.6,8.7,0.528,0.589,1.2,1.4,0.835,0.4,3.5,3.8,2.7,0.7,0.5,1.7,1.6,19.7
28,T.J. Warren,SF,24,PHO,65,65,33,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15,0.523,0.507,3,3.9,0.757,1.9,3.2,5.1,1.3,1,0.6,1.3,2.3,19.6
29,Dennis Schroder,PG,24,ATL,66,66,31,7.5,17.1,0.436,1.2,3.9,0.295,6.3,13.2,0.478,0.469,3.4,4,0.856,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.5
30,Tyreke Evans,PG,28,MEM,52,32,30.9,7,15.6,0.452,2.2,5.5,0.399,4.8,10.1,0.482,0.523,3.2,4,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4
31,John Wall,PG,27,WAS,37,37,34.3,6.8,16.3,0.417,1.4,4,0.358,5.4,12.3,0.436,0.461,4.3,6,0.719,0.5,3,3.6,9.3,1.3,1.1,3.6,1.9,19.4
32,Jrue Holiday,SG,27,NOP,72,72,36.4,7.6,15.5,0.491,1.5,4.5,0.339,6.1,10.9,0.553,0.54,2.4,3,0.781,0.7,3.7,4.4,5.8,1.4,0.8,2.5,2.5,19.1
33,Harrison Barnes,PF,25,DAL,69,69,34.2,7,15.5,0.448,1.4,4,0.355,5.5,11.5,0.481,0.494,3.4,4.1,0.829,1,5.3,6.3,2,0.7,0.2,1.6,1.3,18.8
34,Chris Paul,PG,32,HOU,53,53,31.9,6.3,13.7,0.459,2.5,6.4,0.385,3.8,7.3,0.524,0.549,3.7,4,0.916,0.7,4.9,5.6,7.9,1.7,0.3,2.2,2.4,18.8
35,Tobias Harris,PF,25,TOT,69,69,33.3,6.9,15.2,0.457,2.3,5.7,0.409,4.6,9.4,0.487,0.535,2.3,2.7,0.84,0.8,4.8,5.6,2.3,0.9,0.4,1.3,2,18.5
36,Eric Gordon,SG,29,HOU,63,26,31.5,6,14.1,0.423,3.1,8.8,0.353,2.9,5.3,0.539,0.533,3,3.7,0.814,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18.1
37,Andrew Wiggins,SF,22,MIN,72,72,36.2,7.1,15.9,0.446,1.4,4.2,0.337,5.7,11.7,0.485,0.49,2.5,3.9,0.647,1,3.1,4.1,1.8,1.1,0.7,1.7,2,18.1
38,Aaron Gordon,PF,22,ORL,49,48,33.5,6.6,15,0.44,2,5.8,0.343,4.6,9.1,0.502,0.507,2.9,4.1,0.704,1.6,6.8,8.4,2.3,0.9,0.8,1.8,2,18
39,Jeremy Lin,PG,29,BRK,1,1,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,7,7,1,0,0,0,4,0,0,3,3,18
40,Kevin Love,C,29,CLE,50,50,27.9,5.8,12.6,0.463,2.3,5.5,0.411,3.6,7.1,0.503,0.552,4.1,4.6,0.883,1.9,7.5,9.4,1.7,0.7,0.4,1.5,2,18
41,Evan Fournier,SF,25,ORL,57,57,32.2,6.5,14.1,0.459,2.2,5.9,0.379,4.2,8.2,0.516,0.538,2.6,3,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8
42,Gary Harris,SG,23,DEN,65,65,34.8,6.6,13.7,0.486,2.4,6,0.399,4.3,7.7,0.553,0.573,2,2.4,0.827,0.6,2.1,2.7,3,1.8,0.2,1.8,1.8,17.7
43,Goran Dragic,PG,31,MIA,67,67,31.8,6.6,14.6,0.448,1.5,4.1,0.361,5.1,10.5,0.482,0.498,3,3.8,0.797,0.7,3.3,4,4.8,0.8,0.2,2.2,2.4,17.6
44,Marc Gasol,C,33,MEM,66,66,33.7,6,14.5,0.414,1.4,4.4,0.324,4.6,10.1,0.453,0.463,4.1,4.9,0.834,1.1,7.3,8.4,4.2,0.7,1.5,2.7,2.5,17.5
45,Nikola Jokic,C,22,DEN,65,63,31.6,6.3,12.6,0.5,1.4,3.5,0.393,4.9,9.1,0.542,0.555,3.6,4.2,0.847,2.7,7.8,10.5,6,1.2,0.8,2.8,2.8,17.5
46,Tim Hardaway,SG,25,NYK,50,47,32.9,6.3,15,0.419,2.2,7.1,0.311,4.1,7.9,0.518,0.493,2.6,3.2,0.823,0.6,3.3,3.9,2.7,1,0.2,1.6,2.2,17.4
47,Eric Bledsoe,PG,28,TOT,63,63,31.4,6.1,13.5,0.452,1.7,5,0.332,4.4,8.5,0.522,0.514,3.4,4.4,0.778,0.7,3,3.8,4.8,2,0.6,3,2.5,17.3
48,Mike Conley,PG,30,MEM,12,12,31.1,5.3,14,0.381,2,6.4,0.312,3.3,7.6,0.44,0.452,4.4,5.5,0.803,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1
49,Nikola Vucevic,C,27,ORL,49,49,30,7.2,14.7,0.488,1.3,3.8,0.339,5.9,10.9,0.539,0.531,1.3,1.6,0.8,1.7,7.2,8.9,3.3,1,1.1,2,2.6,16.9
50,Zach LaVine,SG,22,CHI,24,24,27.3,5.7,14.8,0.383,1.8,5.1,0.341,3.9,9.7,0.405,0.442,3.6,4.5,0.813,0.4,3.5,3.9,3,1,0.2,1.8,2.3,16.7
51,Carmelo Anthony,PF,33,OKC,69,69,32.2,6.2,15.3,0.408,2.2,6.1,0.363,4,9.2,0.438,0.481,1.9,2.6,0.761,0.8,5,5.8,1.3,0.6,0.6,1.3,2.6,16.6
52,Dwight Howard,C,32,CHO,72,72,30.5,6.2,11.3,0.554,0,0.1,0.2,6.2,11.2,0.557,0.555,4.1,7.2,0.569,3.2,9,12.2,1.3,0.6,1.7,2.7,3.2,16.6
53,Kyle Lowry,PG,31,TOR,68,68,32.1,5.3,12.2,0.431,3.1,7.7,0.403,2.2,4.5,0.477,0.557,3.1,3.6,0.856,0.9,4.6,5.6,6.7,1.2,0.2,2.3,2.5,16.6
54,J.J. Redick,SG,33,PHI,60,60,30.6,5.5,12.2,0.45,2.7,6.5,0.41,2.8,5.7,0.496,0.559,2.9,3.2,0.911,0.2,2.4,2.6,3,0.5,0.1,1.5,1.9,16.6
55,Jamal Murray,PG,20,DEN,71,70,30.7,5.8,12.8,0.455,2,5.2,0.386,3.8,7.6,0.503,0.534,2.8,3.1,0.904,1,2.7,3.7,3.2,1,0.3,2.1,2.1,16.5
56,Brandon Ingram,SF,20,LAL,57,57,33.8,6.1,13.1,0.469,0.7,1.8,0.38,5.5,11.3,0.483,0.495,3.3,4.8,0.689,1,4.4,5.4,3.9,0.8,0.8,2.5,2.8,16.2
57,Kawhi Leonard,SF,26,SAS,9,9,23.3,5.8,12.3,0.468,1.2,3.9,0.314,4.6,8.4,0.539,0.518,3.4,4.2,0.816,0.7,4,4.7,2.3,2,1,1.8,1,16.2
58,D'Angelo Russell,PG,21,BRK,38,25,25.9,6,14.3,0.417,1.8,5.5,0.324,4.2,8.8,0.475,0.479,2.4,3.1,0.756,0.7,3.2,3.9,4.9,0.7,0.3,3.1,2,16.1
59,Julius Randle,C,23,LAL,71,38,26.4,6.3,11,0.566,0.1,0.6,0.214,6.1,10.5,0.586,0.572,3.4,4.9,0.699,2.2,5.7,7.9,2.5,0.5,0.6,2.5,3.3,16
60,Ben Simmons,PG,21,PHI,70,70,34.3,6.8,12.6,0.537,0,0.1,0,6.8,12.5,0.543,0.537,2.4,4.2,0.569,1.8,6.1,7.9,7.9,1.7,0.8,3.5,2.6,16
61,Danilo Gallinari,SF,29,LAC,19,19,32.4,5.2,12.7,0.407,1.8,5.6,0.321,3.4,7.1,0.474,0.477,3.8,4.1,0.948,0.4,4.5,4.9,2.1,0.6,0.3,1.2,1.4,15.9
62,Kyle Kuzma,PF,22,LAL,69,30,30.4,5.9,13.1,0.449,2,5.4,0.371,3.9,7.7,0.505,0.526,1.9,2.6,0.715,1.2,5,6.2,1.8,0.6,0.4,1.7,2.1,15.7
63,Austin Rivers,SG,25,LAC,51,49,33.7,5.8,13.5,0.434,2.4,6,0.39,3.5,7.4,0.471,0.522,1.6,2.5,0.643,0.5,2.1,2.5,3.7,1.2,0.3,1.7,2.5,15.7
64,Isaiah Thomas,PG,28,TOT,32,15,26.9,4.9,13.2,0.373,1.7,5.9,0.293,3.2,7.3,0.438,0.438,3.7,4.1,0.893,0.5,1.6,2.1,4.8,0.5,0.1,3,1.8,15.2
65,Rodney Hood,SG,25,TOT,51,17,27.2,5.5,13,0.421,2.3,6,0.379,3.2,7,0.457,0.508,1.9,2.1,0.881,0.4,2.4,2.8,1.6,0.7,0.2,1.4,1.8,15.1
66,Will Barton,SG,27,DEN,71,30,32.5,5.6,12.4,0.449,1.8,5,0.361,3.7,7.4,0.51,0.523,2,2.6,0.792,0.9,4.1,4.9,4.1,1.1,0.6,1.8,2,15
67,Nikola Mirotic,PF,26,TOT,47,9,26.7,5.2,12.1,0.432,2.4,6.4,0.37,2.9,5.7,0.502,0.53,2.1,2.7,0.802,1,6,7,1.5,0.8,0.7,1.2,1.9,15
68,Dennis Smith,PG,20,DAL,61,61,29.7,5.8,14.8,0.39,1.5,4.9,0.305,4.3,9.9,0.432,0.441,2,2.9,0.699,0.7,3.1,3.8,4.9,1,0.3,2.8,2.1,15
69,Lauri Markkanen,PF,20,CHI,60,60,30.4,5.5,12.8,0.426,2.1,6,0.345,3.4,6.8,0.498,0.507,1.9,2.2,0.865,1.2,6.4,7.6,1.2,0.6,0.6,1.2,1.5,14.9
70,Andre Drummond,C,24,DET,70,70,33.3,5.9,11.2,0.527,0,0.1,0,5.9,11.1,0.532,0.527,3,5,0.607,5.1,10.7,15.8,3.1,1.5,1.6,2.6,3.2,14.8
71,Otto Porter,SF,24,WAS,67,67,32.2,5.8,11.7,0.497,1.7,4.1,0.426,4.1,7.6,0.534,0.571,1.5,1.7,0.838,1.3,5.2,6.5,2.1,1.6,0.5,0.9,2,14.8
72,Dario Saric,PF,23,PHI,70,65,30.3,5.2,11.4,0.456,2,5.1,0.399,3.2,6.3,0.501,0.544,2.4,2.7,0.868,2,4.8,6.9,2.6,0.7,0.3,1.9,2.1,14.8
73,Zach Randolph,PF,36,SAC,59,57,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2,2,14.5
74,Rondae Hollis-Jefferson,SF,23,BRK,58,49,28.1,5.2,10.9,0.474,0.2,0.8,0.245,5,10.1,0.493,0.483,3.8,4.8,0.786,1.6,5.1,6.7,2.4,0.9,0.7,1.7,2.2,14.4
75,Avery Bradley,SG,27,TOT,46,46,31.2,5.6,13.6,0.414,1.6,4.4,0.369,4,9.2,0.436,0.474,1.4,1.8,0.768,0.5,2,2.5,2,1.1,0.2,2.2,2,14.3
76,Jordan Clarkson,SG,25,TOT,70,2,23.5,5.5,12,0.453,1.4,4.2,0.347,4,7.9,0.509,0.513,1.9,2.4,0.792,0.7,2.1,2.9,2.9,0.7,0.1,1.7,1.3,14.3
77,Dion Waiters,SG,26,MIA,30,30,30.6,5.4,13.7,0.398,1.7,5.7,0.306,3.7,8,0.463,0.461,1.7,2.3,0.739,0.3,2.3,2.6,3.8,0.8,0.3,2.3,2,14.3
78,Hassan Whiteside,C,28,MIA,47,47,25.9,5.9,10.7,0.55,0,0,1,5.8,10.6,0.548,0.552,2.5,3.6,0.69,3.2,8.6,11.8,1,0.7,1.7,1.8,2.4,14.3
79,Paul Millsap,PF,32,DEN,28,27,28.9,5.1,11.2,0.46,1.1,3.1,0.356,4,8.1,0.5,0.51,2.8,3.9,0.718,1.4,4.9,6.3,2.7,1.2,1.2,2,2.5,14.2
80,Jusuf Nurkic,C,23,POR,68,68,26,5.9,12.1,0.492,0,0.1,0,5.9,12,0.496,0.492,2.3,3.6,0.642,2.2,6.4,8.6,1.9,0.8,1.3,2.4,3.1,14.2
81,Jaylen Brown,SF,21,BOS,61,61,30.9,5.2,11.4,0.46,1.7,4.4,0.373,3.6,6.9,0.517,0.533,2,3.2,0.631,1,4.2,5.2,1.6,0.9,0.4,1.6,2.7,14.1
82,Reggie Jackson,PG,27,DET,35,35,26.5,5.3,12.2,0.437,1.2,3.8,0.326,4.1,8.4,0.486,0.487,2.3,2.7,0.84,0.7,2.1,2.7,5.2,0.6,0.1,2.3,2,14.1
83,Enes Kanter,C,25,NYK,67,67,25.5,6,10.1,0.598,0,0,0,6,10,0.6,0.598,2.1,2.5,0.849,3.8,7,10.9,1.5,0.5,0.5,1.7,2.6,14.1
84,Clint Capela,C,23,HOU,66,66,27.4,6,9.2,0.651,0,0,0,6,9.2,0.652,0.651,2,3.6,0.561,3.3,7.6,10.9,0.9,0.7,1.8,1.5,2.6,14
85,Rudy Gobert,C,25,UTA,46,46,32.5,5.1,8.2,0.622,0,0,,5.1,8.2,0.622,0.622,3.8,5.5,0.698,3,7.8,10.8,1.3,0.7,2.4,1.8,2.8,14
86,Steven Adams,C,24,OKC,67,67,32.6,5.9,9.3,0.634,0,0,0,5.9,9.3,0.636,0.634,2.1,3.6,0.57,5,3.9,8.9,1.1,1.3,1.1,1.6,2.9,13.9
87,Jonathon Simmons,SG,28,ORL,69,50,29.4,5.1,11,0.465,1,3,0.338,4.1,8.1,0.512,0.511,2.7,3.5,0.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9
88,Jeff Teague,PG,29,MIN,61,61,33.1,5,11.1,0.45,1.2,3.1,0.38,3.8,8,0.477,0.504,2.7,3.3,0.829,0.4,2.7,3.1,7.1,1.5,0.3,2.6,2.4,13.9
89,Bojan Bogdanovic,SF,28,IND,71,71,30.7,4.9,10.4,0.466,1.9,4.8,0.393,3,5.7,0.526,0.555,2.2,2.6,0.859,0.4,3,3.3,1.5,0.7,0.1,1.3,1.6,13.8
90,Kentavious Caldwell-Pope,SG,24,LAL,63,63,33.8,4.7,10.9,0.432,2.3,5.7,0.396,2.5,5.2,0.471,0.535,2,2.7,0.766,0.9,4.6,5.5,2.2,1.6,0.2,1.3,2,13.7
91,Myles Turner,C,21,IND,55,52,28.5,5.1,10.2,0.5,0.9,2.5,0.38,4.1,7.7,0.539,0.546,2.6,3.4,0.773,1.5,5.4,6.9,1.4,0.6,1.9,1.5,2.9,13.7
92,DeMarre Carroll,SF,31,BRK,67,67,29.9,4.5,10.9,0.415,2,5.4,0.37,2.5,5.5,0.458,0.506,2.6,3.4,0.77,1.5,5.2,6.7,2,0.8,0.4,1.4,2.2,13.6
93,Jayson Tatum,SF,19,BOS,71,71,30.5,4.8,10.1,0.476,1.3,3.1,0.429,3.5,7.1,0.496,0.54,2.6,3.2,0.821,0.6,4.5,5.1,1.5,0.9,0.8,1.3,2.1,13.6
94,Kris Dunn,PG,23,CHI,52,43,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.73,0.5,3.8,4.3,6,2,0.5,2.9,3.4,13.4
95,Taurean Waller-Prince,SF,23,ATL,72,72,30.2,4.8,11.4,0.418,2,5.4,0.38,2.7,6.1,0.452,0.507,1.8,2.1,0.843,0.6,4.2,4.8,2.4,1,0.5,2.2,2,13.4
96,Malcolm Brogdon,PG,25,MIL,46,20,30.5,5.2,10.6,0.487,1.3,3.4,0.378,3.9,7.2,0.538,0.547,1.6,1.8,0.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.8,13.3
